REG_NO|ITEM_SKU|BUYER_EMAIL|PURCHASED_ON|SALES_CH|COVER_YRS|ZONE
WR-202600309|SKU-P1003|orders@silva244.example.com|21.07.2026|BULK|1|EMEA
WR-202600310|SKU-P1101|orders@dubois198.example.com|12.06.2026|BULK|1| EMEA 
WR-202500311|SKU-P1113|orders@fontaine45.example.com|24.05.2025|WEB|2|LATM
WR-202500312|SKU-P1117|emma.tanaka665@example.com|26.07.2025|SHOP|1|AMER
WR-202500313|SKU-P1083|leo.barros205@example.com|14.06.2025|SHOP|3|EMEA
WR-202500314|SKU-P1058|lucia.barros65@example.com|25.07.2025|WEB|1|AMER
WR-202600315|SKU-P1085|orders@lindqvist475.example.com|01.08.2026|WEB|1|AMER
WR-202500316|SKU-P1070|CLARA.REYES243@EXAMPLE.COM|01.01.2025|WEB|2|AMER
WR-202600317|SKU-P1101|owen.novak705@example.com|17.07.2026|SHOP|1|AMER
WR-202500318|SKU-P1048|kai.holm271@example.com|13.01.2025|SHOP|1|AMER
WR-202600319|SKU-P1048|tara.moreau170@example.com|31.07.2026|WEB|1|EMEA
WR-202500320|SKU-P1013|aisha.andersen587@example.com|28.12.2025|MKT|2|AMER
WR-202500321|SKU-P1010|nadia.haddad173@example.com|10.08.2025|WEB|3|EMEA
WR-202500322|SKU-P1071|owen.ito537@example.com|25.09.2025|WEB|2|EMEA
WR-202500323|SKU-P1066|nora.marchetti102@example.com|29.12.2025|MKT|2|AMER
WR-202600324|SKU-P1020|sofia.duarte93@example.com|27.05.2026|WEB|3|APJ
WR-202500325|SKU-P1007|sofia.nguyen417@example.com|21.07.2025|MKT|2|EMEA
WR-202500326|SKU-P1009|sofia.barros24@example.com|20.11.2025|SHOP|1|AMER
WR-202500327|SKU-P1012|kenji.svensson95@example.com|23.01.2025|SHOP|3|EMEA
WR-202500328|SKU-P1015|sofia.larsen405@example.com|27.05.2025|MKT|1|EMEA
WR-202500329|SKU-P1018|kai.costa673@example.com|07.10.2025|WEB|2|AMER
WR-202600330|SKU-P1035|kai.nguyen161@example.com|24.08.2026|SHOP|1|AMER
WR-202600331|SKU-P1025|orders@ito776.example.com|17.06.2026|BULK|3|EMEA
WR-202500332|SKU-P1013|sam.keller682@example.com|07.10.2025|WEB|3|EMEA
WR-202500333|SKU-P1109|freya.fischer130@example.com|22.07.2025|MKT|2|EMEA
WR-202500334|SKU-P1068|sara.jensen532@example.com|04.11.2025|SHOP|1|AMER
WR-202500335|SKU-P1098|orders@nilsson128.example.com|05.11.2025|BULK|2|EMEA
WR-202500336|SKU-P1102|ORDERS@BAUER570.EXAMPLE.COM|09.07.2025|BULK|3|AMER
WR-202500337|SKU-P1044|sara.marchetti387@example.com|30.11.2025|MKT|1|LATM
WR-202500338|SKU-P1115|felix.duarte540@example.com|09.07.2025|WEB|3|EMEA
WR-202500339|SKU-P1009|orders@hartley747.example.com|05.07.2025|MKT|2|AMER
WR-202600340|SKU-P1012|orders@bauer276.example.com|26.02.2026|BULK|1|APJ
WR-202500341|SKU-P1010|orders@barros307.example.com|03.06.2025|BULK|1|EMEA
WR-202600342|SKU-P1027|orders@weber296.example.com|21.08.2026|BULK|2|AMER
WR-202600343|SKU-P1020|kai.haddad372@example.com|02.08.2026|WEB|2|EMEA
WR-202600344|SKU-P1072|orders@moreau399.example.com|19.05.2026|WEB|2|APJ
WR-202500345|SKU-P1000|emma.barros295@example.com|22.01.2025|MKT|2|APJ
WR-202500346|SKU-P1116|orders@kowalski707.example.com|27.10.2025|BULK|1|EMEA
WR-202600347|SKU-P1105|orders@keller373.example.com|23.03.2026|BULK|2|EMEA
WR-202500348|SKU-P1086|marco.silva229@example.com|16.02.2025|WEB|2|EMEA
WR-202500349|SKU-P1113|orders@bauer570.example.com|21.08.2025|WEB|2|AMER
WR-202500350|SKU-P1109|orders@weber655.example.com|11.09.2025|WEB|3|EMEA
WR-202600351|SKU-P1098|orders@tanaka446.example.com|02.07.2026|BULK|1|AMER
WR-202600352|SKU-P1025|ines.tanaka150@example.com|05.08.2026|WEB|3| AMER 
WR-202500353|SKU-P1091|hugo.andersen539@example.com|18.02.2025|WEB|2|AMER
WR-202500354|SKU-P1101|kenji.silva675@example.com|16.05.2025|SHOP|2|APJ
WR-202500355|SKU-P1109|nora.reyes434@example.com|03.10.2025|WEB|1|AMER
WR-202500356|SKU-P1110|unknown.buyer356@example.net|23.11.2025|WEB|3|APJ
WR-202600357|SKU-P1001|yuki.novak207@example.com|11.03.2026|WEB|2|AMER
WR-202600358|SKU-P1118|marco.silva152@example.com|20.05.2026|MKT|2|LATM
WR-202500359|SKU-P1117|emma.reyes740@example.com|31.12.2025|SHOP|1|AMER
WR-202500360|SKU-P1068|arjun.tanaka14@example.com|18.06.2025|SHOP|1|AMER
WR-202500361|SKU-P1098|orders@holm627.example.com|11.11.2025|BULK|1|EMEA
WR-202600362|SKU-P1022|orders@jensen148.example.com|01.08.2026|WEB|2|APJ
WR-202500363|SKU-P1017|aisha.romero9@example.com|14.01.2025|WEB|2|LATM
WR-202600364|SKU-P1029|orders@petrov422.example.com|04.07.2026|WEB|1| EMEA 
WR-202500365|SKU-P1012|nora.romero407@example.com|10.04.2025|WEB|2|APJ
WR-202500366|SKU-P1041|jonas.weber751@example.com|06.05.2025|WEB|3|LATM
WR-202500367|SKU-P1055|marco.silva229@example.com|23.12.2025|SHOP|1|EMEA
WR-202600368|SKU-P1092|clara.barros520@example.com|29.07.2026|WEB|1|AMER
WR-202500369|SKU-P1019|orders@bauer658.example.com|01.01.2025|BULK|2|LATM
WR-202500370|SKU-P1100|orders@costa237.example.com|18.11.2025|BULK|3|EMEA
WR-202600371|SKU-P1110|emma.egan293@example.com|23.01.2026|SHOP|2|AMER
WR-202500372|SKU-P1104|diego.fontaine607@example.com|21.05.2025|WEB|3|AMER
WR-202600373|SKU-P1026|orders@egan116.example.com|19.05.2026|BULK|2|APJ
WR-202500374|SKU-P1040|orders@sato414.example.com|23.04.2025|BULK|2|LATM
WR-202500375|SKU-P1018|marco.novak38@example.com|11.09.2025|WEB|3|EMEA
WR-202600376|SKU-P1054|isla.moreau384@example.com|01.05.2026|SHOP|3|EMEA
WR-202500377|SKU-P1115|sam.berg56@example.com|24.02.2025|SHOP|1|EMEA
WR-202500378|SKU-P1006|LENA.NOVAK753@EXAMPLE.COM|21.09.2025|WEB|3|LATM
WR-202600379|SKU-P1117|mia.holm425@example.com|14.02.2026|MKT|1|AMER
WR-202500380|SKU-P1020|orders@okafor777.example.com|07.08.2025|WEB|1|EMEA
WR-202500381|SKU-P1002|orders@moreau3.example.com|21.08.2025|BULK|1|AMER
WR-202500382|SKU-P1016|sam.moreau672@example.com|13.05.2025|WEB|1| AMER 
WR-202500383|SKU-P1070|zoe.novak112@example.com|14.06.2025|MKT|3|EMEA
WR-202500384|SKU-P1116|yuki.ferreira504@example.com|21.12.2025|SHOP|1|AMER
WR-202500385|SKU-P1070|orders@hartley747.example.com|13.06.2025|BULK|1|AMER
WR-202600386|SKU-P1119|owen.quinn146@example.com|10.02.2026|WEB|3|AMER
WR-202600387|SKU-P1049|MAYA.DUBOIS688@EXAMPLE.COM|31.03.2026|WEB|1|EMEA
WR-202500388|SKU-P1021|jonas.petrov460@example.com|29.12.2025|SHOP|1|AMER
WR-202600389|SKU-P1016|leo.larsen119@example.com|31.07.2026|WEB|1|LATM
WR-202500390|SKU-P1106|orders@marchetti599.example.com|14.12.2025|WEB|2|AMER
WR-202600391|SKU-P1031|orders@fontaine212.example.com|15.06.2026|BULK|1|EMEA
WR-202600392|SKU-P1077|noah.hartley479@example.com|25.04.2026|SHOP|1| LATM 
WR-202600393|SKU-P1030|sofia.ortiz268@example.com|24.07.2026|SHOP|2|EMEA
WR-202600394|SKU-P1062|kenji.silva675@example.com|11.08.2026|SHOP|2|APJ
WR-202600395|SKU-P1012|tara.bauer140@example.com|01.07.2026|SHOP|1|AMER
WR-202500396|SKU-P1100|noah.romero326@example.com|19.03.2025|WEB|1|AMER
WR-202500397|SKU-P1036|isla.fischer510@example.com|27.07.2025|SHOP|3|APJ
WR-202500398|SKU-P1104|unknown.buyer398@example.net|21.04.2025|WEB|2|AMER
WR-202600399|SKU-P1099|orders@romero71.example.com|17.06.2026|BULK|1|APJ
WR-202600400|SKU-P1027|emma.tanaka665@example.com|21.06.2026|WEB|3|AMER
WR-202500401|SKU-P1104|orders@tanaka101.example.com|05.04.2025|WEB|1|AMER
WR-202500402|SKU-P1096|kenji.petrov486@example.com|21.08.2025|SHOP|1| AMER 
WR-202500403|SKU-P1016|sofia.barros24@example.com|11.09.2025|SHOP|1|AMER
WR-202600404|SKU-P1011|orders@egan116.example.com|19.05.2026|BULK|1|APJ
WR-202500405|SKU-P1086|ines.tanaka390@example.com|01.05.2025|WEB|1|APJ
WR-202500406|SKU-P1047|unknown.buyer406@example.net|14.01.2025|BULK|1|EMEA
WR-202500407|SKU-P1019|elsa.ito781@example.com|09.02.2025|WEB|3|EMEA
WR-202500408|SKU-P1118|ethan.duarte794@example.com|31.12.2025|WEB|1|EMEA
WR-202600409|SKU-P1038|orders@svensson767.example.com|06.01.2026|BULK|3|AMER
WR-202500410|SKU-P1010|orders@egan169.example.com|25.08.2025|BULK|3|AMER
WR-202600411|SKU-P1009|orders@ferreira465.example.com|27.02.2026|BULK|1|APJ
WR-202500412|SKU-P1046|orders@quinn238.example.com|30.07.2025|SHOP|3|AMER
WR-202500413|SKU-P1048|orders@jensen447.example.com|17.07.2025|BULK|1|AMER
WR-202600414|SKU-P1042|noah.silva602@example.com|12.07.2026|WEB|2|LATM
WR-202500415|SKU-P1115|tomas.ito694@example.com|20.10.2025|SHOP|5|EMEA
WR-202500416|SKU-P1002|orders@vargas758.example.com|26.04.2025|WEB|2|EMEA
WR-202500417|SKU-P1000|ines.larsen131@example.com|03.05.2025|WEB|1|AMER
WR-202600418|SKU-P1005|orders@moreau598.example.com|06.04.2026|BULK|2|EMEA
WR-202500419|SKU-P1117|maya.silva115@example.com|10.04.2025|SHOP|2|EMEA
WR-202500420|SKU-P1098|diego.berg11@example.com|21.11.2025|SHOP|1| EMEA 
WR-202600421|SKU-P1030|elsa.hartley639@example.com|07.03.2026|SHOP|2|APJ
WR-202500422|SKU-P1095|tara.meyer362@example.com|16.09.2025|SHOP|2|EMEA
WR-202500423|SKU-P1067|yuki.barros555@example.com|16.10.2025|MKT|1|LATM
WR-202600424|SKU-P1088|VIKTOR.VARGAS713@EXAMPLE.COM|07.07.2026|WEB|1|APJ
WR-202600425|SKU-P1010|mateo.costa6@example.com|10.05.2026|SHOP|1|AMER
WR-202500426|SKU-P1009|viktor.kowalski349@example.com|26.11.2025|WEB|2|AMER
WR-202600427|SKU-P1088|orders@silva244.example.com|02.04.2026|WEB|5|EMEA
WR-202500428|SKU-P1103|orders@larsen370.example.com|30.11.2025|WEB|2|APJ
WR-202500429|SKU-P1024|zoe.quinn731@example.com|31.03.2025|MKT|2|AMER
WR-202600430|SKU-P1059|mateo.novak337@example.com|29.06.2026|SHOP|1|AMER
WR-202500431|SKU-P1086|sofia.nguyen704@example.com|08.05.2025|SHOP|1|EMEA
WR-202600432|SKU-P1107|emma.marchetti215@example.com|02.08.2026|MKT|3|APJ
WR-202600433|SKU-P1031|orders@silva244.example.com|21.07.2026|BULK|5|EMEA
WR-202500434|SKU-P1046|viktor.svensson60@example.com|03.11.2025|WEB|2|AMER
WR-202500435|SKU-P1032|jonas.lindqvist340@example.com|22.12.2025|MKT|1|EMEA
WR-202600436|SKU-P1075|anders.marchetti331@example.com|12.03.2026|WEB|1|EMEA
WR-202600437|SKU-P1115|viktor.duarte88@example.com|26.07.2026|SHOP|1|EMEA
WR-202600438|SKU-P1005|freya.holm692@example.com|09.05.2026|WEB|1|EMEA
WR-202600439|SKU-P1064|sam.jensen774@example.com|18.05.2026|WEB|3|APJ
WR-202500440|SKU-P1069|owen.berg594@example.com|18.10.2025|WEB|2|AMER
WR-202500441|SKU-P1117|orders@larsen141.example.com|21.01.2025|BULK|1| AMER 
WR-202500442|SKU-P1044|elsa.hartley639@example.com|26.03.2025|SHOP|3|APJ
WR-202600443|SKU-P1096|ava.barros592@example.com|24.03.2026|WEB|3|AMER
WR-202600444|SKU-P1109|owen.barros305@example.com|28.06.2026|SHOP|3|APJ
WR-202600445|SKU-P1003|orders@berg493.example.com|13.07.2026|BULK|2| APJ 
WR-202500446|SKU-P1044|tara.weber558@example.com|16.11.2025|MKT|1|LATM
WR-202600447|SKU-P1099|orders@svensson652.example.com|19.05.2026|BULK|1|EMEA
WR-202500448|SKU-P1117|orders@petrov377.example.com|10.12.2025|BULK|3|AMER
WR-202500449|SKU-P1102|orders@meyer490.example.com|02.08.2025|SHOP|1|EMEA
WR-202500450|SKU-P1008|nora.svensson502@example.com|07.07.2025|SHOP|1|EMEA
WR-202500451|SKU-P1029|kai.svensson266@example.com|20.02.2025|MKT|1|AMER
WR-202600452|SKU-P1079|owen.novak705@example.com|23.05.2026|MKT|3|AMER
WR-202600453|SKU-P1036|lena.petrov16@example.com|14.03.2026|MKT|2|AMER
WR-202500454|SKU-P1033|orders@okafor777.example.com|25.04.2025|BULK|3|EMEA
WR-202600455|SKU-P1003|ruben.jensen477@example.com|25.01.2026|WEB|3|APJ
WR-202500456|SKU-P1071|mateo.jensen261@example.com|04.04.2025|WEB|2|AMER
WR-202500457|SKU-P1115|elsa.tanaka526@example.com|21.07.2025|WEB|1|AMER
WR-202500458|SKU-P1003|maya.kowalski699@example.com|16.12.2025|WEB|1|EMEA
WR-202600459|SKU-P1056|orders@lindqvist444.example.com|10.01.2026|WEB|1|APJ
WR-202600460|SKU-P1024|yuki.dubois651@example.com|19.03.2026|SHOP|2|EMEA
WR-202500461|SKU-P1033|noah.petrov147@example.com|12.10.2025|WEB|3|AMER
WR-202500462|SKU-P1003|orders@kowalski707.example.com|12.12.2025|BULK|1|EMEA
WR-202500463|SKU-P1026|kenji.svensson319@example.com|09.10.2025|SHOP|2|AMER
WR-202600464|SKU-P1082|viktor.sato19@example.com|07.05.2026|WEB|5|AMER
WR-202500465|SKU-P1103|sara.larsen192@example.com|02.06.2025|WEB|3|LATM
WR-202600466|SKU-P1030|orders@kowalski364.example.com|18.04.2026|WEB|1|LATM
WR-202500467|SKU-P1116|lucia.novak737@example.com|04.09.2025|WEB|2| APJ 
WR-202600468|SKU-P1049|nadia.weber415@example.com|02.03.2026|SHOP|1|AMER
WR-202500469|SKU-P1068|jonas.meyer732@example.com|28.11.2025|MKT|1|AMER
WR-202600470|SKU-P1081|orders@holm750.example.com|27.05.2026|BULK|1|AMER
WR-202600471|SKU-P1008|tomas.voss351@example.com|04.08.2026|MKT|1|AMER
WR-202600472|SKU-P1022|orders@bauer527.example.com|16.04.2026|BULK|1| AMER 
WR-202600473|SKU-P1073|orders@romero71.example.com|17.06.2026|BULK|1|APJ
WR-202500474|SKU-P1014|orders@romero122.example.com|22.02.2025|WEB|3|AMER
WR-202600475|SKU-P1044|hugo.berg84@example.com|15.07.2026|SHOP|3|EMEA
WR-202500476|SKU-P1051|aisha.haddad716@example.com|05.09.2025|WEB|5|APJ
WR-202500477|SKU-P1091|kai.nilsson457@example.com|25.11.2025|MKT|2|AMER
WR-202600478|SKU-P1071|tomas.haddad678@example.com|29.05.2026|SHOP|2|AMER
WR-202600479|SKU-P1006|lucas.sato12@example.com|14.04.2026|WEB|2|EMEA
WR-202500480|SKU-P1001|nora.nguyen511@example.com|02.05.2025|WEB|2|LATM
WR-202600481|SKU-P1035|orders@klein179.example.com|16.03.2026|BULK|2|EMEA
WR-202500482|SKU-P1029|kai.fischer439@example.com|17.06.2025|SHOP|1|APJ
WR-202500483|SKU-P1109|ORDERS@SATO317.EXAMPLE.COM|23.09.2025|BULK|1|AMER
WR-202600484|SKU-P1058|owen.petrov278@example.com|24.01.2026|SHOP|1|EMEA
WR-202500485|SKU-P1036|ava.barros592@example.com|03.12.2025|MKT|2| AMER 
WR-202600486|SKU-P1035|anders.fischer68@example.com|28.04.2026|SHOP|1|APJ
WR-202500487|SKU-P1088|ruben.jensen477@example.com|16.08.2025|WEB|5|APJ
WR-202500488|SKU-P1057|isla.ortiz764@example.com|14.08.2025|MKT|5|AMER
WR-202600489|SKU-P1007|ava.klein411@example.com|01.02.2026|WEB|3|APJ
WR-202600490|SKU-P1094|orders@meyer490.example.com|01.01.2026|BULK|1|EMEA
WR-202500491|SKU-P1059|yuki.barros555@example.com|16.10.2025|MKT|3|LATM
WR-202600492|SKU-P1093|aisha.meyer644@example.com|25.03.2026|SHOP|1|AMER
WR-202600493|SKU-P1114|kai.haddad372@example.com|08.05.2026|SHOP|2|EMEA
WR-202600494|SKU-P1097|sam.weber588@example.com|02.05.2026|WEB|1|APJ
WR-202500495|SKU-P1025|lucas.holm107@example.com|12.06.2025|WEB|2|AMER
WR-202600496|SKU-P1054|zoe.novak481@example.com|24.02.2026|SHOP|1|AMER
WR-202600497|SKU-P1107|arjun.egan556@example.com|15.06.2026|WEB|1|AMER
WR-202600498|SKU-P1109|ethan.costa601@example.com|02.07.2026|WEB|2|AMER
WR-202600499|SKU-P1022|clara.vargas94@example.com|18.03.2026|WEB|2|AMER
WR-202500500|SKU-P1041|orders@lindqvist444.example.com|17.07.2025|WEB|1|APJ
WR-202500501|SKU-P1086|kenji.fischer394@example.com|06.07.2025|MKT|1|LATM
WR-202600502|SKU-P1068|arjun.egan514@example.com|27.02.2026|WEB|3|AMER
WR-202600503|SKU-P1043|zoe.novak481@example.com|11.01.2026|MKT|2|AMER
WR-202600504|SKU-P1054|orders@moreau598.example.com|13.01.2026|BULK|3|EMEA
WR-202500505|SKU-P1026|ines.haddad711@example.com|31.05.2025|MKT|2|APJ
WR-202500506|SKU-P1036|orders@okafor798.example.com|17.02.2025|BULK|3|AMER
WR-202500507|SKU-P1103|orders@keller83.example.com|27.10.2025|BULK|5|AMER
WR-202600508|SKU-P1013|anders.fischer687@example.com|28.01.2026|WEB|1|AMER
WR-202500509|SKU-P1079|clara.romero352@example.com|22.09.2025|MKT|1|APJ
WR-202500510|SKU-P1098|yuki.ferreira504@example.com|31.12.2025|WEB|1|AMER
WR-202600511|SKU-P1101|kenji.barros613@example.com|19.06.2026|WEB|1|AMER
WR-202600512|SKU-P1119|lucia.nguyen636@example.com|06.04.2026|WEB|2|AMER
WR-202600513|SKU-P1001|arjun.ortiz299@example.com|15.06.2026|MKT|1|APJ
WR-202600514|SKU-P1008|orders@hartley204.example.com|26.06.2026|BULK|2|APJ
WR-202600515|SKU-P1067|nadia.romero348@example.com|19.07.2026|WEB|3|AMER
WR-202600516|SKU-P1028|orders@weber262.example.com|06.04.2026|BULK|5|EMEA
WR-202500517|SKU-P1104|nadia.meyer630@example.com|16.10.2025|WEB|3| EMEA 
WR-202600518|SKU-P1034|isla.lindqvist171@example.com|21.06.2026|MKT|2| EMEA 
WR-202600519|SKU-P1018|orders@quinn361.example.com|18.02.2026|MKT|1|EMEA
WR-202500520|SKU-P1031|mateo.klein780@example.com|04.10.2025|SHOP|1|AMER
WR-202600521|SKU-P1060|orders@marchetti784.example.com|18.08.2026|WEB|1|AMER
WR-202600522|SKU-P1102|ines.meyer125@example.com|10.01.2026|SHOP|2|APJ
WR-202600523|SKU-P1094|orders@holm272.example.com|22.03.2026|WEB|2|AMER
WR-202500524|SKU-P1097|zoe.holm714@example.com|30.07.2025|MKT|2|AMER
WR-202600525|SKU-P1076|nadia.costa174@example.com|13.08.2026|WEB|1|EMEA
WR-202500526|SKU-P1028|diego.bauer620@example.com|27.03.2025|SHOP|1| LATM 
WR-202600527|SKU-P1020|sara.ferreira408@example.com|07.03.2026|SHOP|3| EMEA 
WR-202500528|SKU-P1100|viktor.holm347@example.com|06.09.2025|WEB|3|AMER
WR-202500529|SKU-P1005|orders@fischer586.example.com|01.10.2025|MKT|1|EMEA
WR-202500530|SKU-P1063|orders@holm550.example.com|09.09.2025|BULK|2|APJ
WR-202600531|SKU-P1049|kenji.berg626@example.com|30.05.2026|WEB|1|EMEA
WR-202500532|SKU-P1069|ines.hartley378@example.com|17.08.2025|WEB|1|AMER
WR-202500533|SKU-P1100|orders@andersen480.example.com|15.12.2025|BULK|1|EMEA
WR-202500534|SKU-P1062|isla.novak21@example.com|23.12.2025|WEB|3|AMER
WR-202500535|SKU-P1015|marco.petrov745@example.com|28.09.2025|WEB|2|LATM
WR-202500536|SKU-P1113|orders@dubois198.example.com|01.04.2025|BULK|1|EMEA
WR-202500537|SKU-P1019|orders@petrov573.example.com|22.05.2025|BULK|1|EMEA
WR-202500538|SKU-P1100|felix.novak426@example.com|14.12.2025|SHOP|1|AMER
WR-202600539|SKU-P1068|orders@bauer276.example.com|26.06.2026|MKT|3|APJ
WR-202500540|SKU-P1048|freya.nguyen153@example.com|17.12.2025|SHOP|1|APJ
WR-202600541|SKU-P1005|orders@silva310.example.com|15.02.2026|SHOP|1|APJ
WR-202500542|SKU-P1077|orders@svensson652.example.com|25.03.2025|BULK|1|EMEA
WR-202600543|SKU-P1093|sam.marchetti182@example.com|16.05.2026|MKT|1|LATM
WR-202500544|SKU-P1069|nadia.costa174@example.com|12.01.2025|WEB|3|EMEA
WR-202500545|SKU-P1079|freya.fischer130@example.com|20.07.2025|WEB|3|EMEA
WR-202500546|SKU-P1085|lucia.barros65@example.com|02.05.2025|MKT|2|AMER
WR-202500547|SKU-P1025|orders@larsen404.example.com|15.12.2025|BULK|1|APJ
WR-202500548|SKU-P1106|maya.ferreira418@example.com|26.04.2025|WEB|1|AMER
WR-202600549|SKU-P1103|isla.bauer76@example.com|28.07.2026|WEB|2|APJ
WR-202600550|SKU-P1030|orders@silva354.example.com|05.06.2026|BULK|3|AMER
WR-202500551|SKU-P1095|yuki.tanaka17@example.com|21.11.2025|WEB|2|AMER
WR-202600552|SKU-P1104|emma.fontaine389@example.com|07.01.2026|SHOP|2|AMER
WR-202500553|SKU-P1103|diego.sato155@example.com|26.12.2025|SHOP|5|EMEA
WR-202500554|SKU-P1105|freya.holm692@example.com|10.03.2025|WEB|2|EMEA
WR-202600555|SKU-P1053|ELSA.NILSSON43@EXAMPLE.COM|06.02.2026|WEB|1|EMEA
WR-202500556|SKU-P1049|noah.reyes448@example.com|28.12.2025|WEB|2|EMEA
WR-202500557|SKU-P1018|orders@fischer586.example.com|13.07.2025|WEB|2| EMEA 
WR-202500558|SKU-P1014|orders@fontaine79.example.com|05.03.2025|BULK|2|LATM
WR-202600559|SKU-P1082|viktor.sato19@example.com|07.05.2026|WEB|2|AMER
WR-202600560|SKU-P1074|orders@marchetti339.example.com|18.04.2026|WEB|1|EMEA
WR-202600561|SKU-P1090|orders@berg679.example.com|04.02.2026|WEB|1|APJ
WR-202500562|SKU-P1097|leo.holm393@example.com|10.08.2025|WEB|1| EMEA 
WR-202500563|SKU-P1020|sam.kowalski29@example.com|14.04.2025|MKT|2|EMEA
WR-202500564|SKU-P1055|lucia.larsen137@example.com|18.05.2025|SHOP|5|AMER
WR-202500565|SKU-P1011|tomas.nilsson671@example.com|31.05.2025|SHOP|1|EMEA
WR-202500566|SKU-P1012|orders@ortiz322.example.com|19.06.2025|BULK|2|EMEA
WR-202500567|SKU-P1032|arjun.egan556@example.com|13.06.2025|SHOP|2|AMER
WR-202600568|SKU-P1008|nadia.holm100@example.com|02.07.2026|SHOP|1|AMER
WR-202500569|SKU-P1093|ava.klein411@example.com|23.10.2025|SHOP|1|APJ
WR-202600570|SKU-P1079|sara.haddad239@example.com|15.03.2026|WEB|3|AMER
WR-202500571|SKU-P1001|yuki.barros555@example.com|16.10.2025|MKT|1|LATM
WR-202600572|SKU-P1002|sara.haddad239@example.com|15.03.2026|WEB|1|AMER
WR-202500573|SKU-P1070|orders@fontaine45.example.com|30.07.2025|MKT|2|LATM
WR-202600574|SKU-P1070|orders@bauer527.example.com|16.04.2026|BULK|1|AMER
WR-202500575|SKU-P1101|nadia.reyes108@example.com|21.02.2025|WEB|3|AMER
WR-202500576|SKU-P1027|orders@egan578.example.com|23.10.2025|BULK|2|AMER
WR-202500577|SKU-P1103|orders@weber262.example.com|24.07.2025|BULK|1|EMEA
WR-202500578|SKU-P1105|orders@lindqvist513.example.com|15.07.2025|BULK|2|APJ
WR-202500579|SKU-P1032|ines.costa277@example.com|20.03.2025|WEB|1| LATM 
WR-202500580|SKU-P1008|orders@romero122.example.com|28.11.2025|BULK|1|AMER
WR-202500581|SKU-P1032|mateo.costa6@example.com|05.02.2025|MKT|2|AMER
WR-202500582|SKU-P1009|sara.larsen192@example.com|18.05.2025|WEB|1|LATM
WR-202500583|SKU-P1011|orders@quinn779.example.com|09.09.2025|BULK|1|EMEA
WR-202600584|SKU-P1097|orders@ito90.example.com|16.03.2026|BULK|2|APJ
WR-202500585|SKU-P1079|orders@kowalski707.example.com|27.10.2025|BULK|1| EMEA 
WR-202500586|SKU-P1008|yuki.silva234@example.com|06.10.2025|MKT|1|APJ
WR-202600587|SKU-P1015|ava.fischer685@example.com|13.07.2026|SHOP|1|EMEA
WR-202600588|SKU-P1117|maya.larsen661@example.com|25.03.2026|MKT|2| EMEA 
WR-202500589|SKU-P1077|ruben.reyes773@example.com|07.05.2025|WEB|2|EMEA
WR-202500590|SKU-P1017|orders@egan578.example.com|28.05.2025|BULK|1|AMER
WR-202600591|SKU-P1009|sofia.berg47@example.com|25.07.2026|WEB|1|EMEA
WR-202500592|SKU-P1044|orders@novak421.example.com|12.08.2025|WEB|2|APJ
WR-202600593|SKU-P1084|owen.vargas495@example.com|20.04.2026|MKT|1|AMER
WR-202500594|SKU-P1081|priya.hartley222@example.com|29.08.2025|WEB|3|AMER
WR-202500595|SKU-P1090|kai.fischer439@example.com|17.07.2025|WEB|2|APJ
WR-202500596|SKU-P1060|ava.barros592@example.com|03.12.2025|MKT|1|AMER
WR-202600597|SKU-P1052|clara.reyes243@example.com|18.02.2026|WEB|2|AMER
WR-202500598|SKU-P1108|orders@costa565.example.com|19.05.2025|BULK|1|APJ
WR-202600599|SKU-P1028|orders@fischer544.example.com|08.01.2026|BULK|1|EMEA
WR-202500600|SKU-P1005|orders@barros307.example.com|05.07.2025|WEB|2|EMEA
WR-202500601|SKU-P1063|lucas.tanaka314@example.com|03.11.2025|SHOP|3|APJ
WR-202500602|SKU-P1012|felix.nilsson269@example.com|18.08.2025|SHOP|2|APJ
WR-202600603|SKU-P1055|unknown.buyer603@example.net|25.03.2026|WEB|1| EMEA 
WR-202500604|SKU-P1023|orders@ito273.example.com|29.10.2025|BULK|5| EMEA 
WR-202500605|SKU-P1057|ethan.romero306@example.com|25.06.2025|SHOP|1|EMEA
WR-202600606|SKU-P1047|leo.keller164@example.com|10.08.2026|WEB|2|EMEA
WR-202500607|SKU-P1008|yuki.nilsson286@example.com|25.08.2025|WEB|1|EMEA
WR-202600608|SKU-P1081|kenji.hartley437@example.com|10.01.2026|WEB|1| APJ 
WR-202500609|SKU-P1092|tara.moreau170@example.com|01.02.2025|WEB|3|EMEA
WR-202600610|SKU-P1094|tara.meyer362@example.com|19.08.2026|WEB|2|EMEA
WR-202500611|SKU-P1009|leo.larsen119@example.com|27.04.2025|WEB|3|LATM
WR-202600612|SKU-P1074|unknown.buyer612@example.net|29.01.2026|MKT|1| EMEA 
WR-202500613|SKU-P1115|orders@lindqvist145.example.com|11.12.2025|WEB|3| EMEA 
WR-202600614|SKU-P1072|emma.fischer718@example.com|10.08.2026|MKT|3|EMEA
WR-202500615|SKU-P1013|orders@moreau399.example.com|12.09.2025|BULK|3|APJ
WR-202500616|SKU-P1080|emma.novak564@example.com|02.07.2025|WEB|1|EMEA
WR-202600617|SKU-P1074|orders@romero122.example.com|02.08.2026|WEB|3|AMER
